
       对源代码进行词法分析，得到TOKEN信息如下：


                行号                       词法信息                              语义信息


                   4                        program                       保留字，无语义信息
                   4                             ID                                        p
                   5                            var                       保留字，无语义信息
                   5                        integer                       保留字，无语义信息
                   5                             ID                                        i
                   5                              ,                     单分界符，无语义信息
                   5                             ID                                        j
                   5                              ,                     单分界符，无语义信息
                   5                             ID                                      num
                   5                              ;                     单分界符，无语义信息
                   6                          array                       保留字，无语义信息
                   6                              [                     单分界符，无语义信息
                   6                           INTC                                        1
                   6                             ..                   数组限界符，无语义信息
                   6                           INTC                                       20
                   6                              ]                     单分界符，无语义信息
                   6                             of                       保留字，无语义信息
                   6                        integer                       保留字，无语义信息
                   6                             ID                                        a
                   6                              ;                     单分界符，无语义信息
                   8                      procedure                       保留字，无语义信息
                   8                             ID                                        q
                   8                              (                     单分界符，无语义信息
                   8                        integer                       保留字，无语义信息
                   8                             ID                                      num
                   8                              )                     单分界符，无语义信息
                   8                              ;                     单分界符，无语义信息
                   9                            var                       保留字，无语义信息
                   9                        integer                       保留字，无语义信息
                   9                             ID                                        i
                   9                              ,                     单分界符，无语义信息
                   9                             ID                                        j
                   9                              ;                     单分界符，无语义信息
                  10                        integer                       保留字，无语义信息
                  10                             ID                                        t
                  10                              ;                     单分界符，无语义信息
                  11                          begin                       保留字，无语义信息
                  12                             ID                                        i
                  12                             :=                     双分界符，无语义信息
                  12                           INTC                                        1
                  12                              ;                     单分界符，无语义信息
                  13                             ID                                        j
                  13                             :=                     双分界符，无语义信息
                  13                           INTC                                        1
                  13                              ;                     单分界符，无语义信息
                  14                          while                       保留字，无语义信息
                  14                             ID                                        i
                  14                              <                     单分界符，无语义信息
                  14                             ID                                      num
                  14                             do                       保留字，无语义信息
                  15                             ID                                        j
                  15                             :=                     双分界符，无语义信息
                  15                             ID                                      num
                  15                              -                     单分界符，无语义信息
                  15                             ID                                        i
                  15                              +                     单分界符，无语义信息
                  15                           INTC                                        1
                  15                              ;                     单分界符，无语义信息
                  16                             ID                                        k
                  16                             :=                     双分界符，无语义信息
                  16                           INTC                                        1
                  16                              ;                     单分界符，无语义信息
                  17                          while                       保留字，无语义信息
                  17                             ID                                        k
                  17                              <                     单分界符，无语义信息
                  17                             ID                                        j
                  17                             do                       保留字，无语义信息
                  18                      lex_error                             不可识别字符
                  18                             if                       保留字，无语义信息
                  18                             ID                                        a
                  18                              [                     单分界符，无语义信息
                  18                             ID                                        k
                  18                              +                     单分界符，无语义信息
                  18                           INTC                                        1
                  18                              ]                     单分界符，无语义信息
                  18                              <                     单分界符，无语义信息
                  18                             ID                                        a
                  18                              [                     单分界符，无语义信息
                  18                             ID                                        k
                  18                              ]                     单分界符，无语义信息
                  19                           then                       保留字，无语义信息
                  19                             ID                                        t
                  19                             :=                     双分界符，无语义信息
                  19                             ID                                        a
                  19                              [                     单分界符，无语义信息
                  19                             ID                                        k
                  19                              ]                     单分界符，无语义信息
                  19                              ;                     单分界符，无语义信息
                  20                      lex_error                             不可识别字符
                  20                             ID                                        a
                  20                              [                     单分界符，无语义信息
                  20                             ID                                        k
                  20                              ]                     单分界符，无语义信息
                  20                             :=                     双分界符，无语义信息
                  20                             ID                                        a
